location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
KH,2020-01-18,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-01-19,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-01-20,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-01-21,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-01-22,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-01-23,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-01-24,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-01-25,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-01-26,Q424,Cambodia,1.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-01-27,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-01-28,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-01-29,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-01-30,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-01-31,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-01,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-02,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-03,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-04,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-05,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-06,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-07,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-08,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-09,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-10,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-11,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-12,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-13,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-14,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-15,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-16,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-17,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-18,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-19,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-20,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-21,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-22,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-23,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-24,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-25,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-26,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-27,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-28,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-02-29,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-03-01,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-03-02,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-03-03,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-03-04,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-03-05,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-03-06,Q424,Cambodia,1.0,0.0,16718971,12.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KH,2020-03-07,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44
KH,2020-03-08,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44
KH,2020-03-09,Q424,Cambodia,1.0,0.0,16718971,12.6,105.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44
KH,2020-03-10,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44
KH,2020-03-11,Q424,Cambodia,2.0,0.0,16718971,12.6,105.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44
KH,2020-03-12,Q424,Cambodia,2.0,0.0,16718971,12.6,105.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44
KH,2020-03-13,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,27.78
KH,2020-03-14,Q424,Cambodia,5.0,0.0,16718971,12.6,105.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,27.78
KH,2020-03-15,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,27.78
KH,2020-03-16,Q424,Cambodia,21.0,0.0,16718971,12.6,105.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,27.78
KH,2020-03-17,Q424,Cambodia,4.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,46.3
KH,2020-03-18,Q424,Cambodia,10.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,46.3
KH,2020-03-19,Q424,Cambodia,4.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,46.3
KH,2020-03-20,Q424,Cambodia,2.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,46.3
KH,2020-03-21,Q424,Cambodia,31.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,46.3
KH,2020-03-22,Q424,Cambodia,3.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,46.3
KH,2020-03-23,Q424,Cambodia,4.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,46.3
KH,2020-03-24,Q424,Cambodia,5.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,46.3
KH,2020-03-25,Q424,Cambodia,2.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,46.3
KH,2020-03-26,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,65.74
KH,2020-03-27,Q424,Cambodia,4.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,65.74
KH,2020-03-28,Q424,Cambodia,1.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,65.74
KH,2020-03-29,Q424,Cambodia,4.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,65.74
KH,2020-03-30,Q424,Cambodia,2.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,65.74
KH,2020-03-31,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,65.74
KH,2020-04-01,Q424,Cambodia,1.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,65.74
KH,2020-04-02,Q424,Cambodia,4.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,65.74
KH,2020-04-03,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,65.74
KH,2020-04-04,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,65.74
KH,2020-04-05,Q424,Cambodia,1.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,65.74
KH,2020-04-06,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,65.74
KH,2020-04-07,Q424,Cambodia,2.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,68.52
KH,2020-04-08,Q424,Cambodia,1.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-04-09,Q424,Cambodia,2.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,76.85
KH,2020-04-10,Q424,Cambodia,2.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,76.85
KH,2020-04-11,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,76.85
KH,2020-04-12,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,76.85
KH,2020-04-13,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,76.85
KH,2020-04-14,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,76.85
KH,2020-04-15,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,76.85
KH,2020-04-16,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,76.85
KH,2020-04-17,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-04-18,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-04-19,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-04-20,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-04-21,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-04-22,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-04-23,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-04-24,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-04-25,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-04-26,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-04-27,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-04-28,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-04-29,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-04-30,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-01,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-02,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-03,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-04,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-05,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-06,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-07,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-08,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-09,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-10,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-11,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-12,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-13,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-14,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-15,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-16,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-17,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-18,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-19,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-20,Q424,Cambodia,1.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-21,Q424,Cambodia,1.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-22,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-23,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-24,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-25,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-26,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-27,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-28,Q424,Cambodia,1.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-29,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-30,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-05-31,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,65.74
KH,2020-06-01,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-02,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-03,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-04,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-05,Q424,Cambodia,1.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-06,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-07,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-08,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-09,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-10,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-11,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-12,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-13,Q424,Cambodia,2.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-14,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-15,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-16,Q424,Cambodia,1.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-17,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-18,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
KH,2020-06-19,Q424,Cambodia,0.0,0.0,16718971,12.6,105.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,49.07
